key,value,date
SZEBASZTIÁN,120,2003
SZILÁRD,130,2003
SZILVESZTER,88,2003
TAMÁS,1231,2003
TIBOR,353,2003
VALENTIN,,2003
VENCEL,,2003
VIKTOR,312,2003
VILMOS,71,2003
VINCE,81,2003
ZALÁN,236,2003
ZÉNÓ,,2003
ZENTE,,2003
ZÉTÉNY,,2003
ZOLTÁN,1005,2003
ZSIGMOND,,2003
ZSOLT,711,2003
ZSOMBOR,396,2003
ÁBEL,156,2004
ÁDÁM,1176,2004
ADRIÁN,271,2004
ÁGOSTON,66,2004
ÁKOS,613,2004
ALBERT,,2004
ALEX,340,2004
ALEXANDER,88,2004
ÁLMOS,,2004
ANDOR,,2004
ANDRÁS,695,2004
ANTAL,58,2004
ARMAND,60,2004
ÁRMIN,85,2004
ARNOLD,59,2004
ÁRON,429,2004
ÁRPÁD,89,2004
ATTILA,833,2004
BALÁZS,1409,2004
BÁLINT,1137,2004
BARNA,79,2004
BARNABÁS,584,2004
BÉLA,115,2004
BENCE,1889,2004
BENDE,,2004
BENDEGÚZ,181,2004
BENEDEK,412,2004
BENETT,,2004
BENJAMIN,,2004
BENJÁMIN,313,2004
BERTALAN,78,2004
BOLDIZSÁR,131,2004
BOTOND,483,2004
BRÁJEN,,2004
BRENDON,74,2004
BULCSÚ,,2004
CSABA,465,2004
CSANÁD,64,2004
CSONGOR,112,2004
DÁNIEL,1325,2004
DÁVID,1390,2004
DÉNES,63,2004
DENISZ,,2004
DEZSŐ,,2004
DOMINIK,946,2004
DOMONKOS,116,2004
DONÁT,87,2004
DORIÁN,,2004
ENDRE,,2004
ERIK,346,2004
ERNŐ,,2004
FÉLIX,,2004
FERENC,415,2004
FLÓRIÁN,61,2004
GÁBOR,836,2004
GELLÉRT,,2004
GERGELY,419,2004
GERGŐ,1162,2004
GÉZA,,2004
GYÖRGY,189,2004
GYULA,131,2004
HENRIK,,2004
HUBA,,2004
HUNOR,116,2004
IMRE,219,2004
ISTVÁN,732,2004
IVÁN,,2004
JÁNOS,548,2004
JENŐ,,2004
JÓZSEF,534,2004
KÁLMÁN,,2004
KÁROLY,137,2004
KENDE,,2004
KEVIN,387,2004
KOLOS,,2004
KOPPÁNY,68,2004
KORNÉL,195,2004
KRISTÓF,826,2004
KRISZTIÁN,726,2004
KRISZTOFER,238,2004
LAJOS,159,2004
LÁSZLÓ,926,2004
LEVENTE,1264,2004
LÓRÁNT,71,2004
LŐRINC,,2004
MARCELL,668,2004
