key,value,date
RÓZA,,2008
SÁRA,510,2008
SZABINA,,2008
SZILVIA,,2008
SZOFI,,2008
SZOFIA,,2008
SZÓFIA,,2008
SZONJA,218,2008
TAMARA,230,2008
TÍMEA,394,2008
VANDA,310,2008
VANESSZA,247,2008
VERONIKA,228,2008
VIKTÓRIA,883,2008
VIRÁG,402,2008
VIVIEN,760,2008
ZITA,169,2008
ZOÉ,271,2008
ZSANETT,154,2008
ZSÓFIA,900,2008
ABIGÉL,,2009
ADÉL,156,2009
ADRIENN,206,2009
ÁGNES,120,2009
ALEXA,146,2009
ALEXANDRA,385,2009
ALÍZ,,2009
AMANDA,249,2009
AMIRA,123,2009
ANDREA,,2009
ANETT,,2009
ANITA,126,2009
ANNA,1255,2009
ANNABELLA,,2009
ANNAMÁRIA,,2009
BARBARA,305,2009
BEATRIX,,2009
BELLA,,2009
BERNADETT,157,2009
BETTINA,,2009
BIANKA,435,2009
BÍBORKA,,2009
BLANKA,248,2009
BOGLÁRKA,961,2009
BORBÁLA,170,2009
BORÓKA,,2009
BRIGITTA,127,2009
CINTIA,147,2009
CSENGE,578,2009
CSILLA,,2009
DALMA,171,2009
DIÁNA,141,2009
DOMINIKA,,2009
DÓRA,758,2009
DORINA,582,2009
DORKA,294,2009
DOROTTYA,196,2009
DZSENIFER,202,2009
DZSESSZIKA,,2009
EDINA,,2009
ELIZA,,2009
ELIZABET,,2009
EMESE,297,2009
EMILI,,2009
EMÍLIA,152,2009
EMMA,577,2009
ENIKŐ,249,2009
ERIKA,,2009
ESZTER,685,2009
ÉVA,,2009
EVELIN,141,2009
FANNI,579,2009
FLÓRA,361,2009
FRUZSINA,332,2009
GABRIELLA,147,2009
GEORGINA,,2009
GRÉTA,555,2009
HAJNALKA,,2009
HANGA,140,2009
HANNA,1207,2009
HÉDI,,2009
HENRIETTA,,2009
IVETT,,2009
IZABELLA,163,2009
JANKA,200,2009
JÁZMIN,1559,2009
JOHANNA,136,2009
JUDIT,,2009
JÚLIA,206,2009
JULIANNA,,2009
KAMILLA,231,2009
KATA,325,2009
KATALIN,145,2009
KIARA,224,2009
KINCSŐ,152,2009
KINGA,284,2009
KIRA,149,2009
KÍRA,121,2009
KITTI,385,2009
KLAUDIA,122,2009
KRISZTINA,180,2009
LARA,277,2009
LAURA,744,2009
LEILA,162,2009
LÉNA,263,2009
LETÍCIA,,2009
LIA,,2009
LILI,831,2009
LILIÁNA,307,2009
LILIEN,187,2009
LILLA,561,2009
LINETT,,2009
LÍVIA,,2009
LIZA,184,2009
LOTTI,,2009
LUCA,758,2009
MAJA,309,2009
MÁRIA,,2009
MELINDA,136,2009
MELISSZA,158,2009
MERCÉDESZ,120,2009
MIA,,2009
MIRA,186,2009
MÍRA,170,2009
MIRELLA,,2009
MÓNIKA,,2009
NATÁLIA,165,2009
NATASA,,2009
NIKOLETT,311,2009
NIKOLETTA,122,2009
NOÉMI,601,2009
NÓRA,1064,2009
NORINA,,2009
OLÍVIA,,2009
ORSOLYA,136,2009
PANKA,,2009
PANNA,369,2009
PATRÍCIA,141,2009
PETRA,783,2009
RAMÓNA,329,2009
REBEKA,444,2009
REGINA,357,2009
RÉKA,925,2009
RENÁTA,119,2009
RÓZA,,2009
SÁRA,466,2009
SZABINA,,2009
SZILVIA,,2009
SZOFI,,2009
SZOFIA,,2009
SZÓFIA,121,2009
SZONJA,254,2009
TAMARA,285,2009
TÍMEA,347,2009
VANDA,234,2009
VANESSZA,278,2009
VERONIKA,228,2009
VIKTÓRIA,810,2009
VIRÁG,412,2009
VIVIEN,679,2009
ZITA,174,2009
ZOÉ,308,2009
ZSANETT,154,2009
ZSÓFIA,804,2009
ZSUZSANNA,121,2009
ABIGÉL,105,2010
ADÉL,185,2010
ADRIENN,174,2010
ÁGNES,,2010
ALEXA,118,2010
ALEXANDRA,341,2010
ALÍZ,117,2010
AMANDA,206,2010
AMIRA,129,2010
ANDREA,,2010
ANETT,,2010
ANITA,,2010
ANNA,1222,2010
ANNABELLA,,2010
ANNAMÁRIA,,2010
BARBARA,265,2010
BEATRIX,,2010
BELLA,,2010
BERNADETT,144,2010
BETTINA,,2010
BIANKA,425,2010
BÍBORKA,,2010
BLANKA,275,2010
BOGLÁRKA,812,2010
BORBÁLA,184,2010
BORÓKA,131,2010
BRIGITTA,112,2010
CINTIA,105,2010
CSENGE,542,2010
CSILLA,,2010
DALMA,141,2010
DIÁNA,112,2010
DOMINIKA,,2010
DÓRA,755,2010
DORINA,482,2010
DORKA,298,2010
DOROTTYA,203,2010
DZSENIFER,176,2010
DZSESSZIKA,121,2010
EDINA,,2010
ELIZA,,2010
ELIZABET,,2010
EMESE,242,2010
EMILI,,2010
EMÍLIA,182,2010
EMMA,662,2010
ENIKŐ,201,2010
ERIKA,,2010
ESZTER,622,2010
ÉVA,,2010
EVELIN,,2010
FANNI,480,2010
FLÓRA,339,2010
FRUZSINA,346,2010
GABRIELLA,108,2010
GEORGINA,,2010
GRÉTA,551,2010
HAJNALKA,,2010
HANGA,145,2010
HANNA,1145,2010
HÉDI,,2010
HENRIETTA,,2010
IVETT,,2010
IZABELLA,205,2010
JANKA,182,2010
JÁZMIN,1248,2010
JOHANNA,132,2010
JUDIT,,2010
JÚLIA,232,2010
JULIANNA,,2010
KAMILLA,321,2010
KATA,291,2010
KATALIN,133,2010
KIARA,189,2010
KINCSŐ,135,2010
KINGA,292,2010
KIRA,144,2010
KÍRA,130,2010
KITTI,262,2010
KLAUDIA,110,2010
KRISZTINA,167,2010
LARA,309,2010
LAURA,639,2010
LEILA,158,2010
LÉNA,271,2010
LETÍCIA,,2010
